_id,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
TbTGQDgG3aac3Xs4i,simple,false,2021-03-05T20:28:56Z,,cancelled,,"B2YiFzk2vx4S4NH8Y,T44gPwwxKQqLDvMgj,iB8FzAXpopmnqhLQy,jipv8B2yXJhC3fD5x,GYJKe8EEhLgZoLEyT,EdnuoPMpSsWLtNs5S,8SsDwmpzJMA3e7rfi,mRDxuheCHhB3KFyug,PGjr9vManXawdLZYN,gJsuWnLTBMh5y4eCK,fKFoyeTKZZaB7p2qF,QL4k3G7HgN5dLGfTP,zheZvh75DduEYRfaT,3PoTJQwDD97Tkegdd,e2qhq3vcTzLYRSfr9,7BcrZ4MgHpBZB7sg2,JeP44N8kxBvyuxMmo,8Zyc8dgbngQBbYkKY,L87zjPhZ68AkpDdMb,RANqyvdomts4j5sMW",2021-03-05T20:26:36Z,2021-03-05T21:39:44Z
H63QhY5RJY4dweyuG,simple,false,2021-03-05T20:31:04Z,,cancelled,,"TTAnSKb2hMEbjTQ3W,emtnEbcxXfMQT4xCt,5AJQwLnWuEhxFLkdg,zdE4f2zrth7J4yCEw,ZijhvWsGTX8Xizidp,yjdkbd8bzEvk23Ccp,XHewus3Cw3b5pAbJN,wjcFirpBcoW8mdDfG,soF6newWoWoieEZ5s,KDaAsNTfRnMQdYXui,8kGv9sjNtoKX5TqMj,KZRGmHoiFF285FRaw,tCFihhsRa3Not3uoQ,aQwRcpiTD8yanaBaw,JZEJwsMqGAWeHN5Wd,d6TW2u3gT83NyL9Dk,TXGGWofxcfkzqTeua,WpzXXbv8HRXnrgDzC,hDcNRZNgm8qKgiFSM,gxer4AF8j4TvRWcPf,RSSGgpZTvQ3b8oRXK,58e3FAyZNRw522qvj,S52qSnZiJ3v37FDQY,aTcfnGRJF3GWPq8HX,Dmwsq6QGbhagkQoLF,ZDyxDMFv7EDzNAgh3,uP6nPqhCkCazK35ec,6Gasq43BLr62xEWrD,S4W848W5a23SfehTz,ieZH9WyKCewoxKcuD",2021-03-05T20:28:44Z,2021-03-05T21:39:44Z
rcwiCos7Ri49yBFzy,simple,true,2021-03-05T20:32:24Z,2021-03-05T20:32:47Z,finished,,gTJdQnJbkiMDQrycG,2021-03-05T20:32:17Z,2021-03-05T21:39:40Z
YBy5oQKjL6nJH6gMX,simple,false,2021-03-05T21:29:13Z,,cancelled,,"eQ8987dvg3AKkbtiz,onkLspXYQwurfJtH9,RR5sfiTW84rWwgoZA,kaTvjtevSJHfyg4G5,5YivQyZC4jYZ4NZPt,qPqmGAehxddjk5AHA,YYdfnNwmgFHsTmyA7,LPk9nguNAXD8JknLg,7wo2xPbQFZpfggrqb,6LmgYZZJ4XJY95wJM,w5Nm2ATHzLSDJr8ue,FoeE6qDABZdsB9TEh,WfSF99Z29SfHusf5v,7c2G9y2wo3AqwCzoC,sQTNma4BiTQ9i7PCS,zeXgkekXma2TgTj6q,wRYf7Y832MFC2TRK5,y8BEENMDZss3dL5XZ,b2iN4ek5db8ZNYntX,kGWZvfQBC5XYkGQsf,h3wKe3JxNxMLzwXxb,JTXT4S2F4dTfCuhgx,HDgDwyvESfKvHPf8h,we7zFNjaGub3MsyRn,c5hcFaZ92abpc2rto,bHWHAkt4NyuBQRngj,ZBPunWbmJGj7YoWXM,NdbgiTSX67H54HLJz,9KwgsB8KNet2fzhmX,DPLRarBeJEGMs2oB5",2021-03-05T21:29:11Z,2021-03-07T05:03:41Z
CQ3tW3gwBWSWXKPws,simple,false,2021-03-05T21:32:58Z,,cancelled,,"fGnGyZ7tBhoNcXzxD,EnTZy7Sih4srSniBc,nWrLb7vjFewuWvNKK,tAr2v5jb3wtBZ6AKt,t9iMN5667REoD7xen,8eBaTuT8rGr5GcNTQ,e6SDqbaxRpruJDTPH,zvNDHtH9YDX3T9XBu,G32gQyCD3jABi2gny,3prtR77q2pkCXF8o9,bf5Hn3YQ925wBez8W,sgDoGkp3gZibKS386,Knkt3QeqFR4AuwLBR,ZwonzNZsiTWkAfkBH,fzuSqcFrBmYa9Gmf3,ujvJpCtD8vDGpX6qH,HkFYXCNKbBJnfKdfC,4B2XpnhaQfqsbxL9t,mF32wz25jJLdCGQMs,bT2P8tSHnbC38Wf2e",2021-03-05T21:32:51Z,2021-03-07T05:03:42Z
Qgm2afrWDjdyK3fCe,simple,false,2021-03-05T22:48:25Z,,cancelled,,"gZ2YGcZCaiw3xqsMX,r4JkDXtbhTr2wjwjD,MPuzpqhYeCpJDM7jX,uTNTqPwBWF58jDSiX,etYsohfXwihMHFAgG,u7p2X7h7cgs8KYXjJ,KtCZ9Qfdzkit28toL,TvyEgMjZaELxeBoX9,DodmJfRP3wuxTf9Ag,e93j4NLL42pM4MhEB,AwRFh44XsxCZgSyb8,5P8rzZKFjzBFRRkAJ,fkgL8WRuEcHgoqN6f,rPCBp2gFHrPbKfQ45,k4KJEFTfxaKzF8mMM,mz3yJzNNJ6RiWaNo3,JLCpFfwufKKq98MxL,QT6ZpSwgRzS9zTDeW,ZY6oAsLRMAfQn9G4D,8tGpFqL5MuuGaczwc",2021-03-05T22:48:21Z,2021-03-07T05:03:43Z
fW98PEkqzqJwkRHLs,simple,true,2021-03-05T22:48:57Z,2021-03-06T02:52:06Z,finished,,"ejGA5jCrGP85gFDyR,BeAXCDh9f9ftDzC7S,Knkx8udf6tSsBkEjL,7bmrhHgm9EY5PWagF,uaB7uk5rKLqkv6ueg,BqSJezkCBKa6C9vPc,PD7pLbCQthfM7LBcR,CRXMSrAdfZ7QdoWsu,7yuJtSxT89TmBHWph,RNkpbaYBZsfZhMPRp,4T67xzravn3P8hkfw,NPxbqDbbfsv2PXSDh,Q4WYd8WmmBfiEpsQb,bXNuncdqcJsgNkWBt,rvYvGGY3eQDoMEcou,77HogCLBxgJQBbG6N,SfASHCxLwf8rmXRmz,kG6WRBk2LrAxum2Sp,hEzauMsbZEy9MAPX2,BPgEMaLHYekoyr6Qk",2021-03-05T22:48:54Z,2021-03-09T22:40:29Z
dozaN5LPKbXf6hfbx,simple,false,2021-03-06T02:58:20Z,,cancelled,,"2euySomHoNqacASTh,X9kNpdscGrTMFWQAq,fbbaxLe8EhxokXaFy,ufk5MJ39toqAMBwB8,mrvJocjwG6p5Ah7Sb,gDQkfswx2LJdxYgkf",2021-03-06T02:57:57Z,2021-03-09T22:40:28Z
h8eNfQSXKmdHS46iN,simple,false,,,cancelled,,"TJpP9Rs8szqhdTvBn,iuA9nDjWb7RFd4vFB,ZzdQC5swysJ3rGyWv,c5xwxApS76vSbWKHq,ApF9Mm9Dy5hBsATS3,buqvNDJoKcZCh6jx6,yryLNgHXQCHKWsyS4,6iqNLfFAC6j24emrP,kgchZzsx45f9kHwQ3,EpJYnKuQ2EiEWsmDL,uFcTJSaYgbcdFdnHA,mtXqyDxpFLSN8X8eX,eGbNdi7gid8KmpRAS,syMvwSEDkSsrJmeD2,ifsaSYpLwvcMNSM5e,9uoC4XXWe9cgFmHZY,5z5BfmD3WTefEGaW7,mgvXBzN6t73R3fwDX,gnT5bqbSeNg9Mbj3o,W9PM8yptLaPc4gchL,L3qimH59f7KXprtJP,s73x26akdaiar65XH,at5a46FZMCM2rxiPe,Q5jkwtF67GmY4zree,8mdRNt7bHznbX45KG,6yoZBaN3wpkYjeDew,wHWqXHcnDvBjh9HPG,o8cdETxFT7XcuLdxq,grRZfnT7dKDLZCKJG,wzM74C77aCNwxW6cX,KyWHxNRrzYciTNc2F,GhbFCTji7XZkYpDPb,rkfi36sqeyaTfreA5,Yb2ktRkkgyvyXhkCx,wxvPkoH9Gvi4ck7wY,avEeXYE9xRJg3wrXb,WWRSvhnTjnmgKwFuJ,rnZ7Lch5qKcxKmPNp,qEG3DyaeaBt9tWned,8PfS2wQC85JrxQuos,carFPBYpwZNA4zfsY,Qwooy8g634kmmZv6B,vPnNgaLynD7YSuQpQ,RYnw6RzhjKHe9MXDE,xYeiohzJRYMcXYDgY,aazDfDetqiXvhmKSX,SzrZPzgDts88JW5En,6n3rhYrMn42f7dsqy,WhEbvYoAiraeZKYud,35y8pY886mnF6HCg2,kWR6EsdivNxXpoR6b,HyjRbHhXDNjZPc3av,i3SBqLa977YaKx4mG,HHkJR7roQpk3jL2vB,qqkacpXAg2YzSgRvY,jipT9rEqwqkLmjhrj,tehNobPrRzbd7Y2t9,Ysz7PoY3FhHbkgKM2,RMMsgvKPrxkAGj5my,tS8ntbrLwWzQj79ir",2021-03-07T05:04:15Z,2021-03-09T22:40:33Z
atDPFa7XSXkxFNejE,simple,true,2021-03-08T19:50:47Z,,cancelled,,pkFkMT2v8NtSJFnWo,2021-03-08T19:50:45Z,2021-03-09T22:40:32Z
